num_id,first_name,last_name,birthday,department,position,phones
1,Георгий,Герт,12.12.1999,Проходная,Контролер,343434
2,Никита,Козлов,13.11.1996,Отдел кадров,Кадровик,234564
3,Георгий,Козлов,12.12.1999,Проходная,Контролер,343434
4,Анна,Козлова,13.11.1996,Отдел розничных продаж,Менеджер,234564
6,Ирина,Козловская,13.11.1996,Отдел розничных продаж,Руководитель отдела,234564
8,Георгий,Герт,12.12.1999,Проходная,Контролер,343434
9,Никита,Козлов,13.11.1996,Отдел кадров,Кадровик,234564
10,Георгий,Козлов,12.12.1999,Проходная,Контролер,343434
11,Анна,Козлова,13.11.1996,Отдел розничных продаж,Менеджер,234564
12,Николай,Сидоров,12.12.1999,Транспортный отдел,Водитель,343434
13,Ирина,Козловская,13.11.1996,Отдел розничных продаж,Руководитель отдела,234564
14,Елена,Рапчинская,11.11.1987,Транспортный отдел,Логист,452723
15,Георгий,Герт,12.12.1999,Проходная,Контролер,343434
16,Георгий,Герт,12.12.1999,Проходная,Контролер,343434
17,Георгий,Герт,12.12.1999,Проходная,Контролер,343434
18,Никита,Козлов,13.11.1996,Отдел кадров,Кадровик,234564
19,Георгий,Козлов,12.12.1999,Проходная,Контролер,343434
21,Николай,Сидоров,12.12.1999,Транспортный отдел,Водитель,343434
22,Ирина,Козловская,13.11.1996,Отдел розничных продаж,Руководитель отдела,234564
23,Елена,Рапчинская,11.11.1987,Транспортный отдел,Логист,452723
24,Геннадий,Никифоров,26.11.1996,Транспортный отдел,Водитель,452522
25,Георгий,Герт,12.12.1999,Проходная,Контролер,343434
26,Никита,Козлов,13.11.1996,Отдел кадров,Кадровик,234564
27,Георгий,Козлов,12.12.1999,Проходная,Контролер,343434
28,Анна,Козлова,13.11.1996,Отдел розничных продаж,Менеджер,234564
29,Николай,Сидоров,12.12.1999,Транспортный отдел,Водитель,343434
30,Ирина,Козловская,13.11.1996,Отдел розничных продаж,Руководитель отдела,234564
31,Елена,Рапчинская,11.11.1987,Транспортный отдел,Логист,452723
